Target_Return,Target_Direction,Target_Volatility,Target_Class
0.0652401868713075,1,0.00026842850212588566,3.0
0.04076407415498329,1,0.00030872845933477137,3.0
0.0,0,0.0002751667888934856,1.0
0.06791567622533257,1,0.00033166453564605,3.0
0.0,0,0.00031157932604498575,1.0
0.0,0,0.0002846911511973072,1.0
0.09399357613452364,1,0.00020687734664737146,3.0
0.04755328529720293,1,0.0002202890547743715,3.0
0.0,0,0.0001947614761066644,1.0
0.02280713328456918,1,0.00018944865835579297,3.0
-0.04459691365423868,0,0.00018407100640300728,0.0
0.0,0,0.00018407100640300728,1.0
-0.04993967779358244,0,0.00022696257630986445,0.0
0.02107667384398959,1,0.000214846666509093,3.0
0.030838105642711167,1,0.00019204028279240726,3.0
0.0750301487179954,1,0.00021219024497070728,3.0
0.0,0,0.00019741792193805012,1.0
0.0,0,0.00019599250751084306,1.0
0.0,0,0.00016910426013005733,1.0
0.04539484705254759,1,0.0001624307876425143,3.0
0.0,0,0.00016243078569343574,1.0
-0.06524018687130717,0,0.00016916902978552853,0.0
0.02333920318620475,1,0.0001732508687735214,3.0
0.0,0,0.00017195504027668572,1.0
0.0,0,0.00016793800499659284,1.0
0.04539484705254759,1,0.0001611997863846856,3.0
0.0,0,0.00014778807716162847,1.0
0.0,0,0.00016113502563454992,1.0
0.10434246364680999,1,0.00019476145829817852,3.0
-0.056617601910148974,0,0.00022832312668654998,0.0
0.0,0,0.00021491141855954992,1.0
0.06252501555893253,1,0.0002216495704724215,3.0
0.0,0,0.0002216495716076644,1.0
0.0,0,0.00021491132940149293,1.0
0.020480403835460903,1,0.0002283877811744287,3.0
0.0,0,0.00022838774547617152,1.0
0.0,0,0.00022845252078848582,1.0
0.019876589734880046,1,0.00020823782240362866,3.0
0.0,0,0.0001611996502684072,1.0
-0.03841166876578406,0,0.00016787319716682862,0.0
0.0,0,0.00014772324569841427,1.0
0.0,0,0.00016113491920788568,1.0
-0.0228069081234622,0,0.00015439668261429994,0.0
0.0,0,0.0001611349253711499,1.0
0.09313284819202972,1,0.0001946966155902785,3.0
0.021145653298620948,1,0.00018795844635296417,3.0
0.0,0,0.00018795844635296417,1.0
0.0,0,0.00019469664001301425,1.0
-0.021606873069695776,0,0.00017448189216387144,0.0
0.0,0,0.00016774361950260715,1.0
0.06646664714022088,1,0.00018782882150045001,3.0
-0.020707773891328718,0,0.00020124053026217146,0.0
0.0,0,0.00018782879173577863,1.0
0.0,0,0.00017441711577424298,1.0
-0.021606873069695776,0,0.00016761405958990724,0.0
0.02280713328456918,1,0.00015420243691472146,3.0
0.0,0,0.0001407907285589286,1.0
-0.048959368825379546,0,0.00018795849223147146,0.0
0.0,0,0.00017454678346975002,1.0
0.0642465041027982,1,0.00020810840977401426,3.0
0.09313284819202972,1,0.00023499662382574284,3.0
0.0,0,0.00021491142182789998,1.0
0.021816656900817355,1,0.0002081731635157429,3.0
-0.021350852673499787,0,0.00021491140257804293,0.0
-0.021606873069695776,0,0.00022158486878062154,0.0
0.0,0,0.00017720309579925012,1.0
0.0,0,0.00010735855882824283,1.0
-0.010233884844589092,0,0.0001315903097537571,0.0
0.061299808839535785,1,0.0001437061838629999,3.0
-0.0143817871422518,0,0.00013703267892390707,0.0
-0.02447634783082775,0,0.00013709746459475704,0.0
0.020024173469367357,1,0.00014247512070971418,3.0
-0.019631077370705796,0,0.0001411793107899999,0.0
0.0,0,0.0001439005183056642,1.0
